"","gene","variable","value","region","stage"
"104","Solyc07g055020.2.1","a1.leaf",-0.564532242479803,"leaf","1"
"105","Solyc08g083400.2.1","a1.leaf",-0.852612526026853,"leaf","1"
"106","Solyc09g014860.2.1","a1.leaf",-0.458258913173015,"leaf","1"
"107","Solyc12g010720.1.1","a1.leaf",-0.826114402882961,"leaf","1"
"108","Solyc10g055730.1.1","a1.leaf",-0.66935529339409,"leaf","1"
"109","Solyc08g079190.1.1","a1.leaf",-0.649245768109021,"leaf","1"
"110","Solyc06g060530.1.1","a1.leaf",-0.474270048219489,"leaf","1"
"111","Solyc11g044250.1.1","a1.leaf",-0.462594717138522,"leaf","1"
"112","Solyc01g006250.1.1","a1.SAM",-0.141189766453329,"SAM","1"
"113","Solyc01g006300.2.1","a1.SAM",-0.637461970117854,"SAM","1"
"114","Solyc01g006850.1.1","a1.SAM",0.380575782707854,"SAM","1"
"115","Solyc01g008940.2.1","a1.SAM",-0.0325039351178463,"SAM","1"
"116","Solyc01g017500.1.1","a1.SAM",-0.0757455527410116,"SAM","1"
"117","Solyc01g080050.2.1","a1.SAM",-1.1259828854254,"SAM","1"
"118","Solyc01g099260.2.1","a1.SAM",-0.444100493634558,"SAM","1"
"119","Solyc01g099450.2.1","a1.SAM",-1.13992182072431,"SAM","1"
"120","Solyc01g103660.2.1","a1.SAM",-0.728228043679359,"SAM","1"
"121","Solyc01g111160.2.1","a1.SAM",-0.729432927272557,"SAM","1"
"122","Solyc02g070420.2.1","a1.SAM",0.550215516777646,"SAM","1"
"123","Solyc02g084130.2.1","a1.SAM",-0.467381804407905,"SAM","1"
"124","Solyc02g089480.1.1","a1.SAM",-0.708567929689676,"SAM","1"
"125","Solyc02g090690.1.1","a1.SAM",-0.954532949292346,"SAM","1"
"126","Solyc02g091140.2.1","a1.SAM",-0.701065918927538,"SAM","1"
"127","Solyc02g093380.1.1","a1.SAM",-0.929445499921135,"SAM","1"
"128","Solyc03g013440.2.1","a1.SAM",0.422107212945801,"SAM","1"
"129","Solyc03g045150.1.1","a1.SAM",-0.749542169374166,"SAM","1"
"130","Solyc03g083730.1.1","a1.SAM",-0.786556005009388,"SAM","1"
"131","Solyc03g113180.2.1","a1.SAM",-1.39467871215464,"SAM","1"
"132","Solyc03g119470.1.1","a1.SAM",-0.839537577805585,"SAM","1"
"133","Solyc03g121680.1.1","a1.SAM",-0.615782117104247,"SAM","1"
"134","Solyc03g122070.1.1","a1.SAM",-0.534511568798735,"SAM","1"
"135","Solyc04g015820.1.1","a1.SAM",0.14392915256022,"SAM","1"
"136","Solyc04g074400.1.1","a1.SAM",-1.00349760482687,"SAM","1"
"137","Solyc04g074920.2.1","a1.SAM",-0.579522368004898,"SAM","1"
"138","Solyc04g074970.2.1","a1.SAM",0.163940002439322,"SAM","1"
"139","Solyc04g081990.2.1","a1.SAM",-1.14694759070472,"SAM","1"
"140","Solyc05g026600.2.1","a1.SAM",-0.384405769835694,"SAM","1"
"141","Solyc05g048820.2.1","a1.SAM",1.07624365783179,"SAM","1"
"142","Solyc06g006020.1.1","a1.SAM",-0.612644124690902,"SAM","1"
"143","Solyc06g009140.2.1","a1.SAM",-0.64865882369415,"SAM","1"
"144","Solyc06g054150.1.1","a1.SAM",-0.149617659867176,"SAM","1"
"145","Solyc06g060010.2.1","a1.SAM",1.29064510757874,"SAM","1"
"146","Solyc06g068190.1.1","a1.SAM",-0.798611278164638,"SAM","1"
"147","Solyc06g072320.2.1","a1.SAM",-0.678601404099031,"SAM","1"
"148","Solyc06g073580.2.1","a1.SAM",1.14244371142889,"SAM","1"
"149","Solyc06g075020.2.1","a1.SAM",-0.747113167351212,"SAM","1"
"150","Solyc06g075520.2.1","a1.SAM",-0.442969373565921,"SAM","1"
"151","Solyc06g082770.2.1","a1.SAM",-0.860468170650931,"SAM","1"
"152","Solyc07g008400.1.1","a1.SAM",-0.665205730204944,"SAM","1"
"153","Solyc07g042510.2.1","a1.SAM",-1.09806840029376,"SAM","1"
"154","Solyc07g047740.2.1","a1.SAM",-1.28861776281213,"SAM","1"
"155","Solyc07g048060.1.1","a1.SAM",-0.153097477672862,"SAM","1"
"156","Solyc07g054710.1.1","a1.SAM",-0.748512109772395,"SAM","1"
"157","Solyc08g013960.1.1","a1.SAM",-0.566456899354609,"SAM","1"
"158","Solyc08g060840.1.1","a1.SAM",-0.971592305778231,"SAM","1"
"159","Solyc09g011580.2.1","a1.SAM",-1.39645871441336,"SAM","1"
"160","Solyc09g015350.2.1","a1.SAM",0.740840454633225,"SAM","1"
"161","Solyc09g075520.1.1","a1.SAM",-0.472957023279236,"SAM","1"
"162","Solyc09g091110.2.1","a1.SAM",0.640858416697003,"SAM","1"
"163","Solyc10g080670.1.1","a1.SAM",-0.88065831781501,"SAM","1"
"164","Solyc10g084540.1.1","a1.SAM",-0.399767841123813,"SAM","1"
"165","Solyc11g007600.1.1","a1.SAM",0.525285058100411,"SAM","1"
"166","Solyc11g008520.1.1","a1.SAM",0.200732902238119,"SAM","1"
"167","Solyc11g010220.1.1","a1.SAM",-1.13232867939259,"SAM","1"
"168","Solyc11g011350.1.1","a1.SAM",-0.0539927380284407,"SAM","1"
"169","Solyc11g011790.1.1","a1.SAM",-0.849170790782573,"SAM","1"
"170","Solyc11g011890.1.1","a1.SAM",-0.903207525393838,"SAM","1"
"171","Solyc12g010500.1.1","a1.SAM",-0.0175542661134926,"SAM","1"
"172","Solyc12g010570.1.1","a1.SAM",-0.956841470294914,"SAM","1"
"173","Solyc12g100350.1.1","a1.SAM",-1.0529762657928,"SAM","1"
"174","Solyc01g056330.1.1","a1.SAM",-0.811547744344342,"SAM","1"
